Date Published,Status,Aircraft,Travel Type,Travel Class,Route,Date Flown,Seating Comfort,Staff Service,Food Quality,Entertainment,WiFi,Ground Service,Value for Money,Recommended,Country,New Overall Rating
8/12/24,Trip Verified,Boeing 777,Solo Leisure,Business Class,Dubai to Lisbon,24-Aug,5,5,5,5,5,5,5,yes,United Arab Emirates,5
7/29/24,Not Verified,Boeing 777-300,Solo Leisure,Economy Class,Amsterdam to Phuket via Dubai,24-Jun,2,1,4,2,3,3,2,no,Netherlands,3
7/13/24,Not Verified,A380,Family Leisure,Economy Class,Bangkok to Hong Kong,23-Aug,5,5,5,5,4,5,5,yes,Hong Kong,5
6/20/24,Not Verified,777-300ER / A380-800,Family Leisure,Economy Class,Delhi to Washington via Dubai,24-Jun,5,5,5,5,3,5,4,yes,United States,5
5/26/24,Trip Verified,B777-300ER,Solo Leisure,Economy Class,Tokyo to Israel via Dubai,24-May,3,2,1,2,2,1,1,no,Israel,1
4/28/24,Trip Verified,A380,Business,Business Class,Dubai to Barcelona,24-Apr,1,5,2,2,1,2,2,no,Saudi Arabia,3
4/20/24,Not Verified,A380,Business,Business Class,Paris to Dubai,24-Apr,4,5,5,5,5,1,1,no,United Arab Emirates,2
2/28/24,Trip Verified,A380,Solo Leisure,First Class,San Francisco to Hyderabad via Dubai ,24-Feb,4,4,3,5,3,1,1,no,United States,1
2/12/24,Not Verified,A380,Solo Leisure,Economy Class,Milan to Bangkok via Dubai,24-Feb,1,4,3,4,1,2,2,no,Italy,1
2/11/24,Not Verified,Boeing 777,Solo Leisure,Economy Class,Dubai to Cape Town,24-Feb,3,4,4,4,4,4,4,yes,United Kingdom,4
1/19/24,Trip Verified,777 A380,Solo Leisure,Business Class,Johannesburg to Dallas via Dubai,24-Jan,5,5,5,5,5,5,5,yes,South Africa,5
1/8/24,Trip Verified,A380,Solo Leisure,Economy Class,Auckland to Cape Town via Dubai ,23-Dec,2,2,2,2,1,3,2,no,New Zealand,2
12/25/23,Trip Verified,Boeing 777-200,Solo Leisure,Economy Class,Montreal to Kuala Lumpur via Dubai,23-Dec,1,1,1,3,2,3,1,no,Canada,1
12/12/23,Trip Verified,A380,Business,Business Class,Toronto to Dubai,23-Dec,3,5,4,4,4,5,4,yes,Canada,5
11/28/23,Not Verified,A380,Family Leisure,Economy Class,Sydney to Birmingham ,23-Nov,1,2,5,5,4,4,1,no,United Kingdom,1
11/9/23,Trip Verified,A380,Solo Leisure,First Class,Christchurch to Sydney,23-Nov,5,5,5,5,4,5,5,yes,United States,5
11/9/23,Trip Verified,A380,Couple Leisure,Economy Class,Brisbane to Manchester via Dubai,23-Oct,4,4,3,3,3,4,3,yes,Australia,4
9/19/23,Not Verified,A380,Family Leisure,Business Class,Dubai to Bali,23-Sep,4,2,3,5,5,5,4,yes,India,4
9/15/23,Trip Verified,A380,Couple Leisure,Economy Class,Dubai to Birmingham,23-Sep,1,1,1,1,1,1,1,no,United Kingdom,1
9/11/23,Trip Verified,Boeing 777-300,Family Leisure,Economy Class,Maun to Dubai via Johannesburg,23-Aug,3,4,4,5,3,1,3,no,Italy,2
8/27/23,Trip Verified,A380,Family Leisure,Economy Class,Mauritius to Glasgow via Dubai,23-Aug,1,1,1,1,1,1,1,no,United Kingdom,1
8/16/23,Trip Verified,Boeing 777 & A380,Solo Leisure,Economy Class,Durban to London Gatwick via Dubai ,23-Aug,2,2,2,2,1,1,2,no,United Kingdom,1
7/30/23,Trip Verified,Boeing 777,Business,Economy Class,Dubai to Jakarta,23-Jul,2,3,1,4,4,1,3,no,United Arab Emirates,2
